stage,epoch,train_loss,test_f1,test_acc,minutes
linear-probe,1,2.038284454406763,0.7534802868645651,0.7744281276475572,7.925440772374471
linear-probe,2,1.4404530366834234,0.8192926958715978,0.8391344253035865,7.970300475756328
fine-tune,1,1.434340337697579,0.8017791419376594,0.8279793843547021,18.313583370049795
fine-tune,2,1.340300768744998,0.8383740775353914,0.8641979666760802,18.277159853776297
fine-tune,3,1.25192332792492,0.8530581580295866,0.8754236091499576,18.276579252878825
fine-tune,4,1.1996083589685875,0.8614972560422578,0.8794125953120587,18.303027005990348
fine-tune,5,1.1573967477616047,0.8749448596821888,0.8928268850607173,18.298423786958057
fine-tune,6,1.1294730782938176,0.8831006887940512,0.9018285794973171,18.27676788568497
fine-tune,7,1.1017149047118848,0.8891868051815004,0.9075120022592488,18.287447845935823
fine-tune,8,1.0779992661126951,0.8961726333564669,0.9149957639085005,18.283326601982118
fine-tune,9,1.056574387567527,0.8978835163072993,0.9191612538830839,18.298404570420583
fine-tune,10,1.040699971394808,0.9005482891065708,0.9226560293702344,18.288532765706382
fine-tune,11,1.0271072296105943,0.9047019649974964,0.9249858796950015,18.26131720940272
fine-tune,12,1.017622771764956,0.9066663059476479,0.927209827732279,18.28999835252762
fine-tune,13,1.0134309583208283,0.9075118730679145,0.9283747528946625,18.261461528142295
fine-tune,14,1.0101841517857142,0.9066445024867199,0.928480655182152,18.2687974969546
