,precision,recall,f1-score,support
apple::Alternaria leaf blotch,0.9885057471264368,1.0,0.9942196531791907,86.0
apple::Apple scab,0.9327731092436975,0.925,0.9288702928870293,120.0
apple::Black rot,0.8765432098765432,0.8765432098765432,0.8765432098765432,81.0
apple::Cedar apple rust,0.8875,0.9342105263157895,0.9102564102564102,76.0
apple::Healthy,0.9716312056737588,0.9013157894736842,0.9351535836177475,304.0
apple::Mosaic virus,0.9487179487179487,0.9367088607594937,0.9426751592356688,158.0
ash_gourd::Aphid (pest),0.6666666666666666,1.0,0.8,2.0
ash_gourd::Downy mildew,0.7777777777777778,0.6363636363636364,0.7,11.0
ash_gourd::Healthy,0.6666666666666666,1.0,0.8,4.0
ash_gourd::Leaf curl virus,0.5,0.4,0.4444444444444444,5.0
banana::Anthracnose,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
banana::Aphid (pest),1.0,1.0,1.0,6.0
banana::Bacterial soft rot,1.0,0.9259259259259259,0.9615384615384616,27.0
banana::Bract mosaic virus,1.0,1.0,1.0,8.0
banana::Bunchy top virus,0.75,1.0,0.8571428571428571,21.0
banana::Cigar end rot,0.875,0.7777777777777778,0.8235294117647058,9.0
banana::Cordana leaf spot,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
banana::Fruit scarring beetle (pest),1.0,1.0,1.0,1.0
banana::Healthy,0.9782608695652174,0.9615384615384616,0.9698275862068966,234.0
banana::Insect pest damage,1.0,0.9230769230769231,0.96,13.0
banana::Moko (bacterial wilt),0.9,1.0,0.9473684210526315,9.0
banana::Panama disease (fusarium wilt),0.9756838905775076,0.9697885196374623,0.9727272727272728,331.0
banana::Pestalotiopsis leaf spot,0.8461538461538461,1.0,0.9166666666666666,22.0
banana::Potassium deficiency,0.9545454545454546,1.0,0.9767441860465116,21.0
banana::Pseudostem weevil (pest),0.9629629629629629,1.0,0.9811320754716981,26.0
banana::Sigatoka leaf spot,0.9852216748768473,0.963855421686747,0.97442143727162,415.0
bean::Anthracnose,0.9724770642201835,0.9906542056074766,0.9814814814814815,107.0
bean::Blight,1.0,1.0,1.0,13.0
bean::Halo blight,0.5454545454545454,0.7058823529411765,0.6153846153846154,17.0
bean::Healthy,0.9112903225806451,0.8968253968253969,0.904,126.0
bean::Mosaic virus,0.7777777777777778,0.5737704918032787,0.660377358490566,61.0
