crop,test_images,macro_f1,accuracy
ginger,51,0.608714596949891,0.5686274509803921
ash_gourd,22,0.6861111111111111,0.6818181818181818
okra,256,0.7524142524142524,0.9609375
spinach,286,0.7587321051727832,0.7727272727272727
cauliflower,499,0.7805611064681668,0.8496993987975952
tobacco,32,0.7822222222222223,0.75
garlic,73,0.7898635477582845,0.7397260273972602
brinjal_eggplant,894,0.8101772740232757,0.7885906040268457
chilli,78,0.828421052631579,0.8333333333333334
guava,373,0.838923724753585,0.8364611260053619
sugarcane,448,0.8516351595404679,0.9709821428571429
rice,1207,0.8522882975662351,0.8724109362054681
soybean,977,0.8591141230162119,0.8679631525076765
cabbage,110,0.8593074888988674,0.8909090909090909
wheat,1513,0.8602639286743343,0.8876404494382022
lentil,775,0.8659452490919484,0.8619354838709677
malabar_spinach,85,0.8676136363636364,0.8705882352941177
bean,476,0.8840825329492614,0.8697478991596639
pumpkin,244,0.8910367536409979,0.889344262295082
bitter_gourd,15,0.9142857142857143,0.9333333333333333
squash,359,0.9204689165186501,0.8969359331476323
cherry,288,0.9208251444446086,0.9270833333333334
bottle_gourd,183,0.9267506709608158,0.9289617486338798
tomato,3123,0.9377925995646653,0.9260326609029779
moringa,235,0.9390340544013708,0.9617021276595744
banana,1165,0.9394337544672406,0.9639484978540772
groundnut,584,0.9423690847549514,0.910958904109589
potato,572,0.9435095283783814,0.9335664335664335
cucumber,751,0.9442418828143203,0.9440745672436751
coffee,230,0.9446864686468647,0.9695652173913043
corn_maize,1381,0.9450397986100637,0.9543808834178131
grape,696,0.9498539220475201,0.9669540229885057
apple,825,0.9518875447716836,0.9224242424242424
strawberry,221,0.9616454399063095,0.9819004524886877
finger_millet_ragi,63,0.9617388632872504,0.9365079365079365
tea,1087,0.9621312997589714,0.9558417663293468
onion,907,0.9633492214185122,0.9680264608599779
betel,435,0.9658979787808629,0.9655172413793104
custard_apple,283,0.9675402744456453,0.9717314487632509
cashew,722,0.9743869620332516,0.9736842105263158
citrus_orange,684,0.9747680999206276,0.9532163742690059
pomegranate,969,0.9775753952411614,0.9803921568627451
bell_pepper,280,0.9822399377846848,0.9821428571428571
peach,415,0.9824772162386083,0.9759036144578314
cotton,332,0.9885837173579108,0.9909638554216867
lemon,265,0.9897818767383986,0.9886792452830189
sunflower,344,0.991715976331361,0.9912790697674418
black_gram,523,0.9942580938264431,0.994263862332696
jute,199,0.9953431704345471,0.9949748743718593
cowpea,50,1.0,1.0
coconut,68,1.0,1.0
blueberry,106,1.0,1.0
jamun,193,1.0,1.0
raspberry,18,1.0,1.0
mango,356,1.0,1.0
papaya,635,1.0,1.0
radish,38,1.0,1.0
turmeric,224,1.0,1.0
watermelon,105,1.0,1.0
