,precision,recall,f1-score,support
Apple___Apple_scab,0.8105263157894737,0.8369565217391305,0.8235294117647058,92.0
Apple___Cedar_apple_rust,0.8888888888888888,0.9142857142857143,0.9014084507042254,105.0
Apple___healthy,0.7,0.8045977011494253,0.7486631016042781,87.0
Blueberry___healthy,0.9405940594059405,0.8260869565217391,0.8796296296296297,115.0
Cherry_(including_sour)___healthy,0.6486486486486487,0.8421052631578947,0.732824427480916,57.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.4727272727272727,0.8524590163934426,0.6081871345029239,61.0
Corn_(maize)___Common_rust_,0.9159663865546218,0.956140350877193,0.9356223175965666,114.0
Corn_(maize)___Northern_Leaf_Blight,0.9444444444444444,0.6611111111111111,0.7777777777777778,180.0
Grape___Black_rot,0.9565217391304348,0.8571428571428571,0.9041095890410958,77.0
Grape___healthy,0.9012345679012346,1.0,0.948051948051948,73.0
Peach___healthy,0.8617021276595744,0.75,0.801980198019802,108.0
"Pepper,_bell___Bacterial_spot",0.8035714285714286,0.5769230769230769,0.6716417910447762,78.0
"Pepper,_bell___healthy",0.59375,0.9047619047619048,0.7169811320754716,42.0
Potato___Early_blight,0.6320754716981132,0.432258064516129,0.5134099616858238,155.0
Potato___Late_blight,0.69,0.696969696969697,0.6934673366834171,198.0
Raspberry___healthy,0.963302752293578,0.8898305084745762,0.9251101321585903,118.0
Soybean___healthy,0.921875,0.921875,0.921875,64.0
Squash___Powdery_mildew,0.9465648854961832,0.9841269841269841,0.9649805447470817,126.0
Strawberry___healthy,0.92,0.9787234042553191,0.9484536082474226,94.0
Tomato___Bacterial_spot,0.2839506172839506,0.22115384615384615,0.24864864864864866,104.0
Tomato___Early_blight,0.4126984126984127,0.6753246753246753,0.5123152709359606,77.0
Tomato___Late_blight,0.5547945205479452,0.7864077669902912,0.6506024096385542,103.0
Tomato___Leaf_Mold,0.7402597402597403,0.6263736263736264,0.6785714285714286,91.0
Tomato___Septoria_leaf_spot,0.6197183098591549,0.5986394557823129,0.6089965397923875,147.0
Tomato___Spider_mites Two-spotted_spider_mite,0.0,0.0,0.0,2.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9567901234567902,0.6652360515021459,0.7848101265822784,233.0
Tomato___Tomato_mosaic_virus,0.43478260869565216,0.5660377358490566,0.4918032786885246,53.0
Tomato___healthy,0.47368421052631576,0.8653846153846154,0.6122448979591837,52.0
accuracy,0.7430506058446187,0.7430506058446187,0.7430506058446187,0.7430506058446187
macro avg,0.7138954475906357,0.7389611394916703,0.7144891462011936,2806.0
weighted avg,0.7690136259495968,0.7430506058446187,0.7449465446841329,2806.0
