,precision,recall,f1-score,support
Apple___Apple_scab,1.0,0.9921259842519685,0.9960474308300395,127.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,52.0
Apple___healthy,0.9965156794425087,1.0,0.9982547993019197,286.0
Blueberry___healthy,1.0,1.0,1.0,324.0
Cherry_(including_sour)___healthy,1.0,1.0,1.0,123.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.945054945054945,0.9772727272727273,0.9608938547486033,88.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,217.0
Corn_(maize)___Northern_Leaf_Blight,0.9901477832512315,0.9757281553398058,0.9828850855745721,206.0
Grape___Black_rot,1.0,1.0,1.0,168.0
Grape___healthy,1.0,1.0,1.0,100.0
Peach___healthy,1.0,1.0,1.0,71.0
"Pepper,_bell___Bacterial_spot",0.9822485207100592,1.0,0.991044776119403,166.0
"Pepper,_bell___healthy",1.0,0.9858657243816255,0.9928825622775801,283.0
Potato___Early_blight,1.0,1.0,1.0,164.0
Potato___Late_blight,0.9952153110047847,0.9811320754716981,0.9881235154394299,212.0
Raspberry___healthy,1.0,1.0,1.0,162.0
Soybean___healthy,1.0,0.998972250770812,0.9994858611825193,973.0
Squash___Powdery_mildew,1.0,1.0,1.0,372.0
Strawberry___healthy,1.0,1.0,1.0,80.0
Tomato___Bacterial_spot,0.9775280898876404,0.9977064220183486,0.9875141884222475,436.0
Tomato___Early_blight,0.9765258215962441,0.9674418604651163,0.9719626168224299,215.0
Tomato___Late_blight,0.9763157894736842,0.9973118279569892,0.9867021276595744,372.0
Tomato___Leaf_Mold,1.0,1.0,1.0,172.0
Tomato___Septoria_leaf_spot,0.9970238095238095,0.9940652818991098,0.9955423476968797,337.0
Tomato___Spider_mites Two-spotted_spider_mite,1.0,1.0,1.0,320.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9918181818181818,0.9958922866271109,1100.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,66.0
Tomato___healthy,1.0,1.0,1.0,328.0
accuracy,0.9950797872340426,0.9950797872340426,0.9950797872340426,0.9950797872340426
macro avg,0.9941634196408895,0.9949800175587994,0.9945439804536539,7520.0
weighted avg,0.9951488642997299,0.9950797872340426,0.9950895792617132,7520.0
